Wall time,Step,AvgReturn,StdReturn
1604189707,0,280.9170227,13.81920242
1604189711,1,309.7588806,53.40072632
1604189714,2,320.748291,16.41799736
1604189718,3,267.2460022,27.01531982
1604189722,4,332.8550415,34.93808365
1604189725,5,515.4442749,152.4377899
1604189729,6,356.7288818,44.05332947
1604189733,7,337.0485535,42.74423599
1604189736,8,324.2818604,39.35744476
1604189740,9,401.3533325,66.81149292
1604189754,10,413.7400818,73.07717133
1604189759,11,400.945282,126.3628616
1604189762,12,521.7328491,209.6831818
1604189766,13,677.9085693,153.6117096
1604189770,14,686.2354736,270.3678589
1604189774,15,806.7966919,285.4938049
1604189778,16,805.760437,358.5553894
1604189781,17,639.5254517,173.1112976
1604189785,18,727.5565796,265.5693054
1604189789,19,951.2946777,320.8706055
1604189798,20,771.7293091,337.9165955
1604189803,21,1132.047852,353.4658203
1604189807,22,1062.359741,412.0834961
1604189811,23,1066.700317,378.0400391
1604189815,24,879.5197754,239.466568
1604189819,25,1064.721558,204.1914063
1604189823,26,842.3786011,395.2790222
1604189827,27,1002.220093,364.2864685
1604189831,28,920.9291992,260.1843262
1604189835,29,937.8210449,504.096344
1604189844,30,812.5476685,408.2840881
1604189849,31,1118.45813,387.6087952
1604189854,32,1174.347656,554.5637207
1604189858,33,852.5368652,385.2724304
1604189862,34,1161.233643,481.8092957
1604189866,35,1422.190063,211.4763641
1604189870,36,805.362854,445.3146057
1604189874,37,1317.659546,460.5595398
1604189879,38,1384.793823,490.7151794
1604189883,39,1498.051392,140.1670837
1604189892,40,1214.688843,471.879425
1604189898,41,724.0716553,319.2322083
1604189902,42,1110.041504,347.4591064
1604189906,43,1319.936523,405.8466187
1604189911,44,1236.013916,359.3055725
1604189915,45,1020.599243,507.0653076
1604189919,46,1333.126587,471.9659119
1604189924,47,1112.242065,444.7680969
1604189928,48,1064.252197,479.7635193
1604189933,49,1506.332397,372.9302368
1604189943,50,902.2634888,524.7978516
1604189949,51,1363.984619,501.3093262
1604189953,52,911.2401123,389.1428833
1604189958,53,1532.521606,258.6217346
1604189962,54,1212.787476,480.4828186
1604189967,55,1377.420898,371.4843445
1604189971,56,1319.566406,492.8697815
1604189976,57,1634.262329,35.74102783
1604189980,58,1175.504639,459.59375
1604189985,59,1397.938354,509.5126343
1604189995,60,1354.835571,405.5180969
1604190001,61,1174.956299,398.167572
1604190005,62,1123.254761,580.3403931
1604190010,63,1316.561157,333.3969727
1604190015,64,1404.161011,357.1008606
1604190020,65,1363.328735,439.7929993
1604190024,66,1296.060303,605.6159668
1604190029,67,1217.235229,384.4227905
1604190034,68,1340.871094,347.0627136
1604190039,69,1386.008423,511.7302551
1604190049,70,1369.851563,468.0825195
1604190055,71,1143.513672,534.4515381
1604190060,72,1541.465698,244.2580566
1604190065,73,1567.799927,218.6632996
1604190070,74,1345.6427,519.079895
1604190075,75,1536.900024,305.6665344
1604190080,76,1334.295776,299.3565063
1604190085,77,1174.588379,617.9024658
1604190090,78,1453.463379,382.8949585
1604190095,79,1576.380859,153.2152252
1604190105,80,1667.713867,22.65298653
1604190112,81,1522.607788,143.9993744
1604190117,82,1435.293335,375.2377014
1604190122,83,1311.96936,334.3985901
1604190127,84,1663.791992,19.09679794
1604190132,85,1456.781738,243.4789886
1604190137,86,1179.075928,510.6999817
1604190143,87,1665.727539,52.77767944
1604190148,88,1294.878662,373.446228
1604190153,89,1637.695923,24.82662201
1604190164,90,1281.115112,297.2731018
1604190170,91,1246.22522,533.588623
1604190176,92,1141.341553,493.8363647
1604190181,93,1496.035156,296.4771423
1604190186,94,1334.372314,488.425354
1604190192,95,1460.231812,229.3027191
1604190197,96,1492.898071,378.20224
1604190203,97,1201.996094,444.2484436
1604190208,98,1647.71814,49.9523468
1604190214,99,1354.358765,549.0852051
